# =============================================================================
# HexMaps target_definitions.txt
# =============================================================================
# Comma-separated table of target parameters.
# Spaces and tabs around each comma are ignored; so feel free to align
# columns with extra whitespace for readability.
# All targets that may ever be used should be listed here.
# The targets actually processed are defined in config.txt [sources].
#
# Columns (comma-separated; no header row):
# [required]
#   target       - target name (must match the FITS filename prefix)
#   x_ctr        - x-coordinate of target centre (e.g. RA in degrees; read from FITS header of overlay file)
#   y_ctr        - y-coordinate of target centre (e.g. Dec in degrees; read from FITS header of overlay file)
#   dist_mpc     - Distance (Mpc)
#   e_dist_mpc   - Uncertainty of distance (Mpc)
# [optional]
#   incl_deg     - Inclination (degrees)
#   e_incl_deg   - Uncertainty of inclination (degrees)
#   posang_deg   - Position angle (degrees; East of North)
#   e_posang_deg - Uncertainty of position angle (degrees)
#   r25          - Optical radius r25 (arcmin)
#   e_r25        - Uncertainty of r25 (arcmin)
# =============================================================================
# target,       x_ctr,      y_ctr,      dist_mpc,   e_dist_mpc,   incl_deg,   e_incl_deg,   posang_deg,   e_posang_deg,   r25,     e_r25
ngc5134,        201.3273,   -21.1342,   19.92,      2.52,         22.7,       6.0,          311.6,        2.0,            1.36,    0.35
ngc5194,        202.4696,   47.1952,    8.58,       0.10,         22.0,       3.0,          173.0,        3.0,            3.54,    0.05
ngc5236,        204.2539,   -29.8656,   4.89,       0.18,         24.0,       5.0,          225.0,        10.0,           6.81,    1.76
ngc5248,        204.3834,   8.8852,     14.87,      1.27,         47.4,       16.3,         109.2,        3.5,            2.04,    0.53
ngc5457,        210.8025,   54.3492,    6.70,       0.32,         18.0,       5.0,          39.0,         5.0,            13.46,   0.50
ngc5530,        214.6138,   -43.3883,   12.27,      1.72,         61.9,       2.6,          305.4,        1.0,            2.42,    0.63
ngc5643,        218.1699,   -44.1746,   12.68,      0.53,         29.9,       6.0,          318.7,        2.0,            2.62,    0.68
ngc6300,        259.2478,   -62.8205,   11.58,      1.63,         49.6,       5.8,          105.4,        2.3,            2.67,    0.69
ngc6744,        287.4421,   -63.8575,   9.39,       0.41,         52.7,       2.2,          14.0,         0.2,            7.83,    2.03
ngc6946,        308.7192,   60.1535,    7.34,       0.64,         33.0,       5.0,          243.0,        10.0,           5.70,    1.48
ngc7456,        345.5431,   -39.5694,   15.70,      2.17,         67.3,       4.3,          16.0,         2.9,            2.06,    0.53
ngc7496,        347.4470,   -43.4278,   18.72,      2.63,         35.9,       6.0,          193.7,        4.2,            1.67,    0.43
ngc7743,        356.0880,   9.9340,     20.32,      2.62,         37.1,       5.0,          86.2,         10.0,           1.31,    0.34
ngc7793,        359.4576,   -32.5911,   3.62,       0.15,         50.0,       5.0,          290.0,        10.0,           5.18,    1.34
